rank,controller_type,params_json,worst_tir,worst_hypo,patient_count,param_cr_multiplier,TIR,Hypo,Hyper,MeanBG,StdBG,CV,LBGI,HBGI,Risk,SafetyScore,VariabilityScore,CompositeScore
1,bb,"{""cr_multiplier"": 1.085}",58.43,32.76,30,1.085,83.21,2.42,14.37,145.93,34.68,23.23,0.64,4.08,4.72,97.58,76.77,86.88
2,bb,"{""cr_multiplier"": 1.055}",59.54,33.38,30,1.055,83.44,2.82,13.74,144.24,34.75,23.59,0.72,3.91,4.63,97.18,76.41,86.86
3,bb,"{""cr_multiplier"": 1.06}",59.33,33.31,30,1.06,83.41,2.77,13.82,144.52,34.74,23.53,0.71,3.93,4.64,97.23,76.47,86.86
4,bb,"{""cr_multiplier"": 1.05}",59.54,33.45,30,1.05,83.47,2.89,13.64,143.96,34.77,23.66,0.74,3.88,4.61,97.11,76.34,86.85
5,bb,"{""cr_multiplier"": 1.08}",58.64,32.89,30,1.08,83.22,2.51,14.27,145.65,34.69,23.29,0.65,4.05,4.7,97.49,76.71,86.85
6,bb,"{""cr_multiplier"": 1.1}",57.81,32.41,30,1.1,83.05,2.26,14.69,146.76,34.67,23.07,0.6,4.17,4.77,97.74,76.94,86.85
7,bb,"{""cr_multiplier"": 1.07}",58.99,33.1,30,1.07,83.27,2.65,14.07,145.09,34.71,23.4,0.68,3.99,4.67,97.35,76.6,86.83
8,bb,"{""cr_multiplier"": 1.04}",59.2,33.73,30,1.04,83.5,3.07,13.43,143.39,34.8,23.8,0.77,3.82,4.59,96.93,76.2,86.8
9,bb,"{""cr_multiplier"": 1.11}",57.39,32.13,30,1.11,82.91,2.2,14.9,147.31,34.67,22.96,0.58,4.23,4.8,97.8,77.04,86.79
10,bb,"{""cr_multiplier"": 1.02}",58.78,34.0,30,1.02,83.66,3.37,12.96,142.23,34.9,24.09,0.84,3.71,4.55,96.63,75.91,86.78
11,bb,"{""cr_multiplier"": 1.12}",56.9,31.85,30,1.12,82.76,2.13,15.11,147.86,34.68,22.86,0.55,4.29,4.84,97.87,77.14,86.73
12,bb,"{""cr_multiplier"": 0.99}",57.95,34.49,30,0.99,83.86,3.79,12.35,140.48,35.1,24.58,0.95,3.55,4.5,96.21,75.42,86.72
13,bb,"{""cr_multiplier"": 1.0}",58.08,34.35,30,1.0,83.76,3.67,12.57,141.07,35.03,24.41,0.91,3.6,4.51,96.33,75.59,86.71
14,bb,"{""cr_multiplier"": 0.96}",57.11,34.98,30,0.96,84.12,4.21,11.67,138.69,35.35,25.12,1.09,3.39,4.49,95.79,74.88,86.7
15,bb,"{""cr_multiplier"": 0.98}",57.67,34.7,30,0.98,83.91,3.95,12.15,139.88,35.18,24.75,1.0,3.5,4.49,96.05,75.25,86.68
16,bb,"{""cr_multiplier"": 1.14}",56.0,31.23,30,1.14,82.45,1.98,15.58,148.95,34.71,22.69,0.51,4.41,4.92,98.02,77.31,86.6
17,bb,"{""cr_multiplier"": 0.9}",55.45,35.81,30,0.9,84.61,5.17,10.22,135.02,36.04,26.41,1.45,3.1,4.55,94.83,73.59,86.58
18,bb,"{""cr_multiplier"": 1.2}",53.71,29.08,30,1.2,81.1,1.63,17.27,152.14,34.95,22.27,0.4,4.79,5.2,98.37,77.73,85.94
19,bb,"{""cr_multiplier"": 1.25}",53.09,27.2,30,1.25,79.77,1.42,18.8,154.71,35.29,22.03,0.33,5.13,5.46,98.58,77.97,85.23
20,bb,"{""cr_multiplier"": 0.75}",50.8,37.75,30,0.75,82.51,9.95,7.54,125.27,38.78,30.91,3.08,2.45,5.54,90.05,69.09,83.43
