rank,controller_type,params_json,worst_tir,worst_hypo,patient_count,param_kp,param_ki,param_kd,param_target_bg,TIR,Hypo,Hyper,MeanBG,StdBG,CV,LBGI,HBGI,Risk,SafetyScore,VariabilityScore,CompositeScore
1,pid,"{""kd"": 2e-05, ""ki"": 0.0, ""kp"": 0.00018, ""target_bg"": 115.0}",43.86,23.8,30,0.00018,0.0,2e-05,115.0,61.48,5.41,33.12,169.84,75.02,43.85,1.78,9.66,11.44,94.59,56.15,70.88
2,pid,"{""kd"": 0.0, ""ki"": 0.0, ""kp"": 0.00018, ""target_bg"": 115.0}",43.86,23.87,30,0.00018,0.0,0.0,115.0,61.46,5.42,33.13,169.86,75.07,43.88,1.78,9.67,11.45,94.59,56.12,70.86
3,pid,"{""kd"": 0.0, ""ki"": 0.0, ""kp"": 0.00017, ""target_bg"": 113.0}",43.79,23.11,30,0.00017,0.0,0.0,113.0,61.24,5.29,33.47,170.37,75.14,43.77,1.72,9.76,11.48,94.71,56.23,70.78
4,pid,"{""kd"": 0.0, ""ki"": 0.0, ""kp"": 0.0002, ""target_bg"": 115.0}",40.74,39.21,30,0.0002,0.0,0.0,115.0,62.04,6.59,31.37,164.61,73.63,45.15,2.63,8.94,11.57,93.41,55.16,70.76
5,pid,"{""kd"": 0.0, ""ki"": 0.0, ""kp"": 0.0002, ""target_bg"": 112.0}",40.74,39.28,30,0.0002,0.0,0.0,112.0,62.07,6.94,30.99,162.84,73.16,45.37,2.73,8.73,11.46,93.06,54.96,70.66
6,pid,"{""kd"": 0.0, ""ki"": 0.0, ""kp"": 0.00018, ""target_bg"": 110.0}",40.74,39.07,30,0.00018,0.0,0.0,110.0,61.66,6.42,31.92,164.69,73.52,45.07,2.55,8.99,11.54,93.58,55.29,70.6
7,pid,"{""kd"": 5e-05, ""ki"": 0.0, ""kp"": 0.0002, ""target_bg"": 110.0}",40.74,39.28,30,0.0002,0.0,5e-05,110.0,62.02,7.2,30.78,161.63,72.75,45.48,2.79,8.57,11.36,92.8,54.86,70.54
8,pid,"{""kd"": 0.0, ""ki"": 0.0, ""kp"": 0.0002, ""target_bg"": 110.0}",40.74,39.28,30,0.0002,0.0,0.0,110.0,61.97,7.23,30.8,161.67,72.85,45.53,2.8,8.59,11.39,92.77,54.81,70.5
9,pid,"{""kd"": 0.0001, ""ki"": 0.0, ""kp"": 0.00022, ""target_bg"": 112.0}",40.8,39.35,30,0.00022,0.0,0.0001,112.0,62.14,7.83,30.03,160.08,72.4,45.7,2.96,8.35,11.31,92.17,54.61,70.39
10,pid,"{""kd"": 0.0, ""ki"": 0.0, ""kp"": 0.00025, ""target_bg"": 115.0}",40.8,39.49,30,0.00025,0.0,0.0,115.0,61.85,8.71,29.44,158.41,72.35,46.15,3.26,8.12,11.39,91.29,54.11,69.91
11,pid,"{""kd"": 0.00025, ""ki"": 0.0, ""kp"": 0.00025, ""target_bg"": 110.0}",40.94,39.49,30,0.00025,0.0,0.00025,110.0,62.08,9.32,28.6,155.2,71.1,46.34,3.4,7.72,11.12,90.68,53.95,69.85
12,pid,"{""kd"": 0.0, ""ki"": 0.0, ""kp"": 0.00025, ""target_bg"": 110.0}",40.87,39.56,30,0.00025,0.0,0.0,110.0,61.88,9.45,28.66,155.37,71.52,46.56,3.45,7.77,11.22,90.55,53.74,69.67
13,pid,"{""kd"": 0.00015, ""ki"": 0.0, ""kp"": 0.0003, ""target_bg"": 120.0}",40.87,39.69,30,0.0003,0.0,0.00015,120.0,61.56,10.03,28.4,156.37,71.83,46.45,3.69,7.81,11.5,89.97,53.69,69.3
14,pid,"{""kd"": 0.0, ""ki"": 5e-06, ""kp"": 0.00025, ""target_bg"": 110.0}",21.44,65.65,30,0.00025,5e-06,0.0,110.0,41.12,43.96,14.92,100.01,94.46,96.38,31.33,5.09,36.43,56.04,13.94,42.88
15,pid,"{""kd"": 0.0, ""ki"": 1e-05, ""kp"": 0.00018, ""target_bg"": 115.0}",18.53,67.66,30,0.00018,1e-05,0.0,115.0,33.07,50.37,16.56,102.59,114.9,113.4,36.78,6.79,43.58,49.63,6.9,35.42
16,pid,"{""kd"": 0.0, ""ki"": 2e-05, ""kp"": 0.00016, ""target_bg"": 114.0}",12.28,87.72,30,0.00016,2e-05,0.0,114.0,25.25,59.56,15.19,92.49,118.76,133.68,45.59,6.8,52.4,40.44,2.53,27.54
17,pid,"{""kd"": 0.0, ""ki"": 2.5e-05, ""kp"": 0.0005, ""target_bg"": 110.0}",8.12,91.88,30,0.0005,2.5e-05,0.0,110.0,22.92,62.88,14.2,83.55,108.22,141.32,49.32,5.79,55.11,37.12,2.45,25.13
18,pid,"{""kd"": 0.0025, ""ki"": 5e-05, ""kp"": 0.001, ""target_bg"": 110.0}",6.66,93.34,30,0.001,5e-05,0.0025,110.0,17.92,72.9,9.18,59.42,87.69,185.01,63.58,3.93,67.51,27.1,1.25,19.01
19,pid,"{""kd"": 0.0, ""ki"": 5e-05, ""kp"": 0.00075, ""target_bg"": 110.0}",5.83,94.17,30,0.00075,5e-05,0.0,110.0,16.76,74.54,8.7,56.71,86.15,191.61,65.7,3.83,69.53,25.46,0.82,17.78
20,pid,"{""kd"": 0.0025, ""ki"": 0.0001, ""kp"": 0.00125, ""target_bg"": 105.0}",4.37,95.63,30,0.00125,0.0001,0.0025,105.0,9.87,87.4,2.72,24.88,51.69,267.49,83.61,1.3,84.91,12.6,0.0,9.7
