rank,controller_type,params_json,worst_tir,worst_hypo,patient_count,param_cr_multiplier,TIR,Hypo,Hyper,MeanBG,StdBG,CV,LBGI,HBGI,Risk,SafetyScore,VariabilityScore,CompositeScore
1,bb,"{""cr_multiplier"": 0.8}",73.06,14.31,30,0.8,93.09,1.2,5.71,143.71,18.61,12.94,0.26,2.7,2.96,98.8,87.06,94.2
2,bb,"{""cr_multiplier"": 0.85}",72.36,13.47,30,0.85,92.88,0.93,6.19,144.73,18.49,12.71,0.22,2.81,3.02,99.07,87.29,94.18
3,bb,"{""cr_multiplier"": 0.75}",73.75,15.14,30,0.75,93.26,1.62,5.12,142.62,18.9,13.28,0.32,2.59,2.91,98.38,86.72,94.14
4,bb,"{""cr_multiplier"": 0.9}",71.67,12.5,30,0.9,92.64,0.75,6.61,145.69,18.49,12.59,0.18,2.92,3.09,99.25,87.41,94.1
5,bb,"{""cr_multiplier"": 0.95}",70.97,11.39,30,0.95,92.32,0.65,7.02,146.58,18.61,12.55,0.14,3.02,3.17,99.35,87.45,93.94
6,bb,"{""cr_multiplier"": 1.0}",70.42,10.28,30,1.0,92.11,0.47,7.42,147.42,18.81,12.57,0.12,3.13,3.25,99.53,87.43,93.87
7,bb,"{""cr_multiplier"": 1.05}",69.86,8.75,30,1.05,91.84,0.29,7.87,148.21,19.09,12.65,0.09,3.24,3.33,99.71,87.35,93.75
8,bb,"{""cr_multiplier"": 1.1}",69.86,6.25,30,1.1,91.21,0.21,8.58,148.96,19.41,12.76,0.07,3.34,3.41,99.79,87.24,93.39
9,bb,"{""cr_multiplier"": 1.2}",69.86,0.0,30,1.2,90.04,0.0,9.96,150.33,20.14,13.05,0.05,3.53,3.58,100.0,86.95,92.72
10,bb,"{""cr_multiplier"": 1.25}",69.86,0.0,30,1.25,89.3,0.0,10.7,150.96,20.53,13.22,0.03,3.63,3.66,100.0,86.78,92.26
