rank,controller_type,params_json,worst_tir,worst_hypo,patient_count,param_kp,param_ki,param_kd,param_target_bg,TIR,Hypo,Hyper,MeanBG,StdBG,CV,LBGI,HBGI,Risk,SafetyScore,VariabilityScore,CompositeScore
1,pid,"{""kd"": 0.0, ""ki"": 0.0, ""kp"": 0.0002, ""target_bg"": 110.0}",69.86,18.33,30,0.0002,0.0,0.0,110.0,95.02,1.03,3.95,129.84,20.51,15.91,0.34,1.59,1.93,98.97,84.09,95.11
2,pid,"{""kd"": 0.0, ""ki"": 0.0, ""kp"": 0.00025, ""target_bg"": 110.0}",64.17,24.31,30,0.00025,0.0,0.0,110.0,94.74,1.41,3.85,128.09,21.64,17.1,0.59,1.52,2.11,98.59,82.9,94.71
3,pid,"{""kd"": 5e-05, ""ki"": 0.0, ""kp"": 0.00025, ""target_bg"": 110.0}",64.17,24.17,30,0.00025,0.0,5e-05,110.0,94.74,1.41,3.85,128.08,21.61,17.08,0.59,1.52,2.11,98.59,82.92,94.71
4,pid,"{""kd"": 0.0, ""ki"": 0.0, ""kp"": 0.0003, ""target_bg"": 110.0}",57.64,31.11,30,0.0003,0.0,0.0,110.0,94.41,1.92,3.68,126.51,22.65,18.21,0.85,1.46,2.31,98.08,81.8,94.25
5,pid,"{""kd"": 0.0, ""ki"": 5e-06, ""kp"": 0.00022, ""target_bg"": 112.0}",33.61,47.08,30,0.00022,5e-06,0.0,112.0,74.58,13.9,11.52,120.69,48.43,39.48,4.28,2.95,7.23,86.1,60.52,76.63
6,pid,"{""kd"": 0.0, ""ki"": 5e-06, ""kp"": 0.00025, ""target_bg"": 110.0}",30.69,50.83,30,0.00025,5e-06,0.0,110.0,72.58,16.18,11.25,118.47,48.82,40.64,4.81,2.84,7.64,83.82,59.36,74.63
7,pid,"{""kd"": 0.0, ""ki"": 2.5e-05, ""kp"": 0.0005, ""target_bg"": 110.0}",16.25,83.75,30,0.0005,2.5e-05,0.0,110.0,43.43,45.74,10.83,93.51,63.71,73.97,26.05,2.76,28.81,54.26,32.92,45.63
8,pid,"{""kd"": 0.0025, ""ki"": 5e-05, ""kp"": 0.001, ""target_bg"": 110.0}",13.33,86.67,30,0.001,5e-05,0.0025,110.0,33.81,58.52,7.67,71.96,62.88,108.89,44.51,2.19,46.7,41.48,18.78,34.61
9,pid,"{""kd"": 0.0, ""ki"": 5e-05, ""kp"": 0.00075, ""target_bg"": 110.0}",11.67,88.33,30,0.00075,5e-05,0.0,110.0,33.72,59.75,6.53,68.07,60.04,112.43,46.63,1.84,48.47,40.25,18.32,34.14
10,pid,"{""kd"": 0.0025, ""ki"": 0.0001, ""kp"": 0.00125, ""target_bg"": 105.0}",8.75,91.25,30,0.00125,0.0001,0.0025,105.0,19.81,77.23,2.96,37.43,51.4,172.83,70.58,0.8,71.38,22.77,3.7,19.09
